20160926 10:23:00.582625Z 28403 INFO  readableBytes length = 5 - jacServer.cc:280
20160926 10:23:00.582651Z 28403 INFO  m_curMsgSerialNo++===========: 5 - jacServer.cc:756
20160926 10:23:00.582657Z 28403 INFO  ----------serialNo: 5 - jacServer.cc:258
20160926 10:23:00.582659Z 28403 INFO  ---------replyNo: 1 - jacServer.cc:259
20160926 10:23:00.582665Z 28403 INFO  ack was send! - jacServer.cc:271
20160926 10:23:00.582685Z 28403 INFO  ack was sended! - jacServer.cc:273
20160926 10:23:00.582693Z 28403 INFO   pNode->addr: 8049 - gateway.h:194
20160926 10:23:00.583015Z 28403 INFO  m_curMsgSerialNo++===========: 6 - jacServer.cc:756
20160926 10:23:01.583170Z 28403 INFO  ^^^^^^^^^^^^^^^^^^ send modify dest node, addr = 5745 - jacServer.cc:776
20160926 10:23:01.583215Z 28403 INFO  ---register final success---- - jacServer.cc:329
20160926 10:23:01.596360Z 28403 INFO  readableBytes length = 5 - jacServer.cc:280
20160926 10:23:02.380364Z 28403 INFO  readableBytes length = 17 - jacServer.cc:280
20160926 10:23:02.380377Z 28403 INFO  ===========ONMSG:   MSG_COMACK++++++++ - jacServer.cc:589
20160926 10:23:02.380379Z 28403 INFO  £­£­£­£­£­£­£­common ack,serialNo = 512 | replyNo = 1536 - jacServer.cc:600
20160926 10:23:02.583255Z 28403 INFO  onTimer.... - jacServer.cc:98
20160926 10:23:02.583265Z 28403 INFO  +++++ getUnReplyNum , 5 - jacServer.cc:126
20160926 10:23:02.583268Z 28403 INFO  ----- node, addr= 5745 was removed! - jacServer.cc:132
20160926 10:23:02.583271Z 28403 INFO  >>>>>>before deleteNodeByAddr, size = 2 - jacServer.cc:133
DeleteNodeOfGateway: delete from node_register_info where ip='192.168.0.106' and node=5745
20160926 10:23:02.583719Z 28403 INFO  >>>>>>after deleteNodeByAddr, size = 1 - jacServer.cc:140
20160926 10:23:02.583725Z 28403 INFO  m_curIndex: 1 m_vNodesInfo.size(), 1 - gateway.h:152
20160926 10:23:02.583729Z 28403 INFO  ^^^^^^^^^^^^^^^^^^ send modify dest node, addr = 8049 - jacServer.cc:776
20160926 10:23:02.596379Z 28403 INFO  readableBytes length = 5 - jacServer.cc:280
20160926 10:23:03.583809Z 28403 INFO  onTimer.... - jacServer.cc:98
20160926 10:23:03.583823Z 28403 INFO  +++++ getUnReplyNum , 0 - jacServer.cc:126
20160926 10:23:03.583827Z 28403 INFO  m_curMsgSerialNo++===========: 7 - jacServer.cc:756
20160926 10:23:03.583829Z 28403 INFO  onTimer: tmpNo=7 - jacServer.cc:157
20160926 10:23:04.083904Z 28403 INFO  onTimer.... - jacServer.cc:98
20160926 10:23:04.083911Z 28403 INFO  m_curIndex: 1 m_vNodesInfo.size(), 1 - gateway.h:152
20160926 10:23:04.083914Z 28403 INFO  %%%%%%%%%%%%%%%%%m_destAddr: 8049 - jacServer.cc:119
20160926 10:23:04.083917Z 28403 INFO  ^^^^^^^^^^^^^^^^^^ send modify dest node, addr = 8049 - jacServer.cc:776
20160926 10:23:04.096278Z 28403 INFO  readableBytes length = 5 - jacServer.cc:280
20160926 10:23:04.096284Z 28403 INFO  ---------modify dest node success!------- - jacServer.cc:336
20160926 10:23:05.096331Z 28403 INFO  onTimer.... - jacServer.cc:98
20160926 10:23:05.096342Z 28403 INFO  +++++ getUnReplyNum , 1 - jacServer.cc:126
20160926 10:23:05.096359Z 28403 INFO  m_curMsgSerialNo++===========: 8 - jacServer.cc:756
20160926 10:23:05.096362Z 28403 INFO  onTimer: tmpNo=8 - jacServer.cc:157
20160926 10:23:05.410118Z 28403 INFO  readableBytes length = 46 - jacServer.cc:280
20160926 10:23:05.410134Z 28403 INFO  ===========ONMSG:   MSG_GETMACSTATE++++++++ - jacServer.cc:626
20160926 10:23:05.410140Z 28403 INFO  resetUnReplyNum, addr:=8049 - gateway.h:118
20160926 10:23:05.596423Z 28403 INFO  onTimer.... - jacServer.cc:98
20160926 10:23:05.596427Z 28403 INFO  m_curIndex: 1 m_vNodesInfo.size(), 1 - gateway.h:152
20160926 10:23:05.596430Z 28403 INFO  %%%%%%%%%%%%%%%%%m_destAddr: 8049 - jacServer.cc:119
20160926 10:23:05.596432Z 28403 INFO  ^^^^^^^^^^^^^^^^^^ send modify dest node, addr = 8049 - jacServer.cc:776
20160926 10:23:05.608224Z 28403 INFO  readableBytes length = 28 - jacServer.cc:280
20160926 10:23:05.608229Z 28403 INFO  ===========ONMSG:   MSG_GETMACSTATE++++++++ - jacServer.cc:626
20160926 10:23:05.608231Z 28403 INFO  resetUnReplyNum, addr:=8049 - gateway.h:118
20160926 10:23:08.596483Z 28403 INFO  TIMER : modifyDestAddr... - jacServer.cc:790
20160926 10:23:08.596497Z 28403 INFO  ^^^^^^^^^^^^^^^^^^ send modify dest node, addr = 8049 - jacServer.cc:803
20160926 10:23:08.608114Z 28403 INFO  readableBytes length = 10 - jacServer.cc:280
20160926 10:23:08.608121Z 28403 INFO  ---------modify dest node success!------- - jacServer.cc:336
20160926 10:23:09.608166Z 28403 INFO  onTimer.... - jacServer.cc:98
20160926 10:23:09.608175Z 28403 INFO  +++++ getUnReplyNum , 0 - jacServer.cc:126
20160926 10:23:09.608178Z 28403 INFO  m_curMsgSerialNo++===========: 9 - jacServer.cc:756
20160926 10:23:09.608180Z 28403 INFO  onTimer: tmpNo=9 - jacServer.cc:157
20160926 10:23:10.108237Z 28403 INFO  onTimer.... - jacServer.cc:98
20160926 10:23:10.108244Z 28403 INFO  m_curIndex: 1 m_vNodesInfo.size(), 1 - gateway.h:152
20160926 10:23:10.108247Z 28403 INFO  %%%%%%%%%%%%%%%%%m_destAddr: 8049 - jacServer.cc:119
20160926 10:23:10.108250Z 28403 INFO  ^^^^^^^^^^^^^^^^^^ send modify dest node, addr = 8049 - jacServer.cc:776
20160926 10:23:10.120060Z 28403 INFO  readableBytes length = 10 - jacServer.cc:280
20160926 10:23:10.120067Z 28403 INFO  ---------modify dest node success!------- - jacServer.cc:336
20160926 10:23:11.120108Z 28403 INFO  onTimer.... - jacServer.cc:98
20160926 10:23:11.120117Z 28403 INFO  +++++ getUnReplyNum , 1 - jacServer.cc:126
20160926 10:23:11.120120Z 28403 INFO  m_curMsgSerialNo++===========: 10 - jacServer.cc:756
